09/17/2017, 15/47/41, BTC ,43 ,0.19, 3610.63 LTC ,3 ,0.27, 48.8434 ETH ,21 ,0.1, 252.882 
09/17/2017, 15/48/12, BTC ,35 ,0.06, 3610.63 LTC ,4 ,0.02, 48.8434 ETH ,22 ,0.0, 252.882 
09/17/2017, 15/48/42, BTC ,39 ,0.15, 3610.63 LTC ,4 ,0.23, 48.8434 ETH ,22 ,0.1, 252.882 
09/17/2017, 15/49/14, BTC ,41 ,0.16, 3610.63 LTC ,2 ,0.04, 48.8434 ETH ,16 ,0.35, 252.882 
09/17/2017, 15/49/44, BTC ,56 ,0.08, 3610.63 LTC ,4 ,0.11, 48.7588 ETH ,20 ,0.18, 252.882 
09/17/2017, 15/50/15, BTC ,51 ,0.07, 3610.63 LTC ,2 ,0.29, 48.7588 ETH ,18 ,0.08, 252.882 
09/17/2017, 15/50/45, BTC ,43 ,0.21, 3610.63 LTC ,5 ,0.19, 48.7588 ETH ,15 ,0.35, 252.882 
09/17/2017, 15/51/18, BTC ,30 ,0.18, 3610.63 LTC ,3 ,-0.15, 48.7588 ETH ,18 ,0.1, 252.882 
09/17/2017, 15/51/48, BTC ,45 ,0.1, 3605.88 LTC ,5 ,-0.01, 48.7588 ETH ,17 ,0.12, 252.546 
09/17/2017, 15/52/19, BTC ,40 ,0.18, 3605.88 LTC ,11 ,0.14, 48.7588 ETH ,13 ,0.32, 252.546 
09/17/2017, 15/52/49, BTC ,28 ,0.12, 3605.88 LTC ,2 ,0.15, 48.7588 ETH ,12 ,0.14, 252.546 
09/17/2017, 15/53/19, BTC ,49 ,0.15, 3605.88 LTC ,2 ,0.7, 48.7588 ETH ,15 ,0.1, 252.546 
09/17/2017, 15/53/49, BTC ,35 ,0.16, 3605.88 LTC ,3 ,0.03, 48.7588 ETH ,15 ,0.04, 252.546 
09/17/2017, 15/54/20, BTC ,26 ,0.1, 3605.88 LTC ,5 ,0.29, 48.7588 ETH ,7 ,0.02, 252.546 
09/17/2017, 15/54/52, BTC ,37 ,0.05, 3605.88 LTC ,5 ,0.13, 48.7588 ETH ,26 ,0.26, 252.546 
09/17/2017, 15/55/22, BTC ,41 ,0.11, 3605.88 LTC ,7 ,0.28, 48.7588 ETH ,14 ,0.23, 252.546 
09/17/2017, 15/55/53, BTC ,31 ,0.06, 3608.68 LTC ,3 ,-0.07, 48.7399 ETH ,12 ,0.13, 252.637 
09/17/2017, 15/56/24, BTC ,27 ,0.12, 3608.68 LTC ,2 ,0.04, 48.7399 ETH ,10 ,0.0, 252.637 
09/17/2017, 15/56/55, BTC ,24 ,0.17, 3608.68 LTC ,3 ,-0.03, 48.7399 ETH ,11 ,0.25, 252.637 
09/17/2017, 15/57/27, BTC ,28 ,0.23, 3608.68 LTC ,1 ,0.17, 48.7399 ETH ,9 ,0.18, 252.637 
09/17/2017, 15/57/59, BTC ,28 ,0.0, 3608.68 LTC ,4 ,0.02, 48.7399 ETH ,11 ,0.04, 252.637 
09/17/2017, 15/58/29, BTC ,53 ,0.05, 3608.68 LTC ,3 ,0.21, 48.7399 ETH ,8 ,0.23, 252.637 
09/17/2017, 15/58/59, BTC ,32 ,0.03, 3608.68 LTC ,1 ,0.49, 48.7399 ETH ,11 ,0.12, 252.637 
09/17/2017, 15/59/29, BTC ,43 ,0.02, 3608.68 LTC ,4 ,0.06, 48.7399 ETH ,20 ,0.15, 252.637 
09/17/2017, 16/00/01, BTC ,35 ,0.12, 3609.08 LTC ,5 ,0.11, 48.7143 ETH ,16 ,0.14, 252.8 
09/17/2017, 16/00/31, BTC ,126 ,0.06, 3609.08 LTC ,14 ,0.05, 48.7143 ETH ,40 ,0.12, 252.8 
09/17/2017, 16/01/02, BTC ,51 ,0.17, 3609.08 LTC ,12 ,0.06, 48.7143 ETH ,20 ,0.19, 252.8 
09/17/2017, 16/01/32, BTC ,48 ,0.13, 3609.08 LTC ,14 ,0.05, 48.7143 ETH ,29 ,0.19, 252.8 
09/17/2017, 16/02/02, BTC ,58 ,0.17, 3609.08 LTC ,16 ,0.37, 48.7143 ETH ,27 ,0.26, 252.8 
09/17/2017, 16/02/33, BTC ,61 ,0.07, 3609.08 LTC ,9 ,0.24, 48.7143 ETH ,13 ,0.28, 252.8 
09/17/2017, 16/03/03, BTC ,40 ,0.16, 3609.08 LTC ,5 ,0.14, 48.7143 ETH ,11 ,0.17, 252.8 
09/17/2017, 16/03/34, BTC ,43 ,0.13, 3609.08 LTC ,5 ,0.1, 48.7143 ETH ,15 ,0.05, 252.8 
09/17/2017, 16/04/04, BTC ,45 ,0.09, 3609.08 LTC ,4 ,-0.15, 48.7143 ETH ,12 ,0.14, 252.8 
09/17/2017, 16/04/34, BTC ,45 ,0.1, 3609.08 LTC ,4 ,0.0, 48.7143 ETH ,20 ,0.22, 252.8 
09/17/2017, 16/05/05, BTC ,37 ,0.09, 3609.08 LTC ,7 ,0.18, 48.7143 ETH ,20 ,0.25, 252.8 
09/17/2017, 16/05/35, BTC ,55 ,0.1, 3609.08 LTC ,11 ,0.13, 48.7143 ETH ,22 ,0.09, 252.8 
09/17/2017, 16/06/06, BTC ,85 ,0.46, 3606.35 LTC ,5 ,0.46, 48.7349 ETH ,68 ,0.63, 252.304 
09/17/2017, 16/06/36, BTC ,47 ,0.05, 3606.35 LTC ,2 ,0.0, 48.7349 ETH ,17 ,0.21, 252.304 
09/17/2017, 16/07/07, BTC ,33 ,0.02, 3606.35 LTC ,2 ,0.1, 48.7349 ETH ,14 ,0.19, 252.304 
09/17/2017, 16/07/38, BTC ,39 ,0.08, 3606.35 LTC ,6 ,0.08, 48.7349 ETH ,10 ,0.14, 252.304 
09/17/2017, 16/08/09, BTC ,23 ,-0.02, 3606.35 LTC ,0 ,N/A, 48.7349 ETH ,15 ,0.23, 252.304 
09/17/2017, 16/08/40, BTC ,30 ,0.08, 3606.35 LTC ,2 ,0.43, 48.7349 ETH ,14 ,0.14, 252.304 
09/17/2017, 16/09/11, BTC ,28 ,0.06, 3606.35 LTC ,7 ,0.13, 48.7349 ETH ,14 ,0.07, 252.304 
09/17/2017, 16/09/42, BTC ,36 ,0.11, 3603.86 LTC ,6 ,0.02, 48.6365 ETH ,20 ,0.15, 251.629 
09/17/2017, 16/10/13, BTC ,38 ,0.04, 3603.86 LTC ,6 ,0.01, 48.6365 ETH ,17 ,0.06, 251.629 
09/17/2017, 16/10/43, BTC ,36 ,0.11, 3603.86 LTC ,5 ,0.07, 48.6365 ETH ,20 ,0.16, 251.629 
09/17/2017, 16/11/14, BTC ,37 ,0.13, 3603.86 LTC ,6 ,0.19, 48.6365 ETH ,29 ,0.16, 251.629 
09/17/2017, 16/11/44, BTC ,32 ,0.17, 3603.86 LTC ,10 ,0.09, 48.6365 ETH ,14 ,0.05, 251.629 
09/17/2017, 16/12/15, BTC ,27 ,0.19, 3603.86 LTC ,2 ,0.28, 48.6365 ETH ,18 ,0.26, 251.629 
09/17/2017, 16/12/45, BTC ,42 ,0.11, 3603.86 LTC ,3 ,0.29, 48.6365 ETH ,22 ,0.15, 251.629 
09/17/2017, 16/13/15, BTC ,26 ,0.13, 3603.86 LTC ,2 ,0.0, 48.6365 ETH ,15 ,-0.12, 251.629 
09/17/2017, 16/13/45, BTC ,39 ,0.15, 3603.86 LTC ,6 ,0.05, 48.6365 ETH ,6 ,0.13, 251.629 
09/17/2017, 16/14/16, BTC ,27 ,0.13, 3603.86 LTC ,4 ,0.12, 48.6365 ETH ,14 ,0.31, 251.629 
09/17/2017, 16/14/46, BTC ,25 ,0.19, 3603.86 LTC ,1 ,0.86, 48.6365 ETH ,16 ,0.41, 251.629 
09/17/2017, 16/15/16, BTC ,62 ,0.12, 3603.86 LTC ,6 ,-0.2, 48.6365 ETH ,19 ,0.09, 251.629 
09/17/2017, 16/15/47, BTC ,29 ,0.2, 3594.34 LTC ,7 ,0.32, 48.4393 ETH ,18 ,0.19, 250.861 
09/17/2017, 16/16/18, BTC ,78 ,0.45, 3594.34 LTC ,6 ,0.05, 48.4393 ETH ,58 ,0.57, 250.861 
09/17/2017, 16/16/49, BTC ,24 ,0.18, 3594.34 LTC ,5 ,0.23, 48.4393 ETH ,12 ,0.2, 250.861 
09/17/2017, 16/17/21, BTC ,40 ,0.04, 3594.34 LTC ,2 ,0.42, 48.4393 ETH ,10 ,0.14, 250.861 
09/17/2017, 16/17/51, BTC ,32 ,0.19, 3594.34 LTC ,2 ,0.76, 48.4393 ETH ,7 ,0.5, 250.861 
09/17/2017, 16/18/22, BTC ,55 ,0.12, 3594.34 LTC ,2 ,0.0, 48.4393 ETH ,28 ,-0.19, 250.861 
09/17/2017, 16/18/53, BTC ,23 ,0.17, 3594.34 LTC ,2 ,0.45, 48.4393 ETH ,10 ,0.03, 250.861 
09/17/2017, 16/19/23, BTC ,39 ,0.26, 3594.34 LTC ,3 ,0.4, 48.4393 ETH ,10 ,0.21, 250.861 
09/17/2017, 16/19/55, BTC ,25 ,0.2, 3589.48 LTC ,1 ,0.0, 48.4074 ETH ,21 ,0.08, 250.828 
09/17/2017, 16/20/27, BTC ,33 ,0.14, 3589.48 LTC ,3 ,0.29, 48.4074 ETH ,26 ,0.21, 250.828 
09/17/2017, 16/20/58, BTC ,35 ,0.14, 3589.48 LTC ,3 ,0.44, 48.4074 ETH ,17 ,0.16, 250.828 
09/17/2017, 16/21/30, BTC ,48 ,0.08, 3589.48 LTC ,0 ,N/A, 48.4074 ETH ,60 ,0.71, 250.828 
09/17/2017, 16/22/01, BTC ,24 ,0.16, 3589.48 LTC ,3 ,0.15, 48.4074 ETH ,9 ,0.18, 250.828 
09/17/2017, 16/22/31, BTC ,44 ,0.17, 3589.48 LTC ,1 ,0.51, 48.4074 ETH ,13 ,0.36, 250.828 
09/17/2017, 16/23/02, BTC ,37 ,0.08, 3589.48 LTC ,3 ,0.05, 48.4074 ETH ,73 ,0.59, 250.828 
09/17/2017, 16/23/33, BTC ,34 ,0.18, 3589.48 LTC ,7 ,0.04, 48.4074 ETH ,7 ,0.22, 250.828 
09/17/2017, 16/24/03, BTC ,26 ,0.12, 3589.48 LTC ,8 ,0.06, 48.4074 ETH ,9 ,0.28, 250.828 
